id,img,label,text,weight
0,/content/data/img/27613.png,0,april 15th is coming... bitches better have my money... memegenerator.ne bitches better have my money.,1.0
1,/content/data/img/10932.png,0,you come home and found this.. what do you do ???,1.0
2,/content/data/img/73980.png,0,i caught my goat cheating on me,1.0
3,/content/data/img/06823.png,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,1.0
4,/content/data/img/91385.png,0,you can tell the gender of an ant by throwing it in water if it sinks= girl ant...if it floats= buoyant,1.0
5,/content/data/img/28613.png,1,if slavery had cellphones on the plantation like fuck massah,1.0
6,/content/data/img/81956.png,0,sharks don't attack him why? they think it's whale shit,1.0
7,/content/data/img/86329.png,1,muslim 49 people were killed at christchurch mosques muslim 49 people were killed at christchurch,1.0
8,/content/data/img/03429.png,0,throwback thursday we was all by ourselves at one time we was the only once's in the new phase to build and close,1.0
9,/content/data/img/64287.png,1,seriously mate... what's the fuckin point?,1.0
10,/content/data/img/63720.png,0,i dont like sandwiches . oh well nevermind ..,1.0
11,/content/data/img/98573.png,1,"six years kid: i want to be an architecht, when i grow up cancer: i'm about to end this man's whole career",1.0
12,/content/multimodal-meme-analyzer/9gag_memes/meme_829.jpg,0,n who s buying beers when we re done,0.3
13,/content/data/img/73146.png,0,you better not pout you beter not cry you better not scream i'm going in dry,1.0
14,/content/data/img/50341.png,0,when this happened at home i had no one i could tell,1.0
15,/content/data/img/39120.png,0,hey muslims eat me!,1.0
16,/content/data/img/73406.png,1,yeah if the lazy mexicans could quit raping everybody that'd be great,1.0
17,/content/data/img/13875.png,1,i see a cat let's get it for lunch,1.0
18,/content/data/img/81679.png,0,nazi fitness camp before and after body transformation within hours,1.0
19,/content/data/img/84653.png,1,finally gets naked with girl in shower holocaust,1.0
20,/content/data/img/82104.png,1,hell yeah nig- i mean brother!!!,1.0
21,/content/data/img/92846.png,0,did somebody say hump day,1.0
22,/content/data/img/16248.png,1,for the many not the jew,1.0
23,/content/data/img/41739.png,0,kids be like just wait till i get out of time out,1.0
24,/content/data/img/60785.png,0,the cast of the view heading out to protest trump,1.0
25,/content/data/img/68154.png,1,the look he gives you when you're the new goat in town,1.0
26,/content/data/img/69750.png,1,when you save it because you thought it was just burnt up,1.0
27,/content/data/img/35189.png,1,when you don't abort the baby and it dies anyways,1.0
28,/content/data/img/72195.png,0,if you don't like the way i do things feel free to mind your own fucking business,1.0
29,/content/data/img/64197.png,1,"muslims zombies both carry a virulent disease that transforms the host into a mindless, irrational, and above all violent creature",1.0
30,/content/data/img/94571.png,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,1.0
31,/content/data/img/67021.png,1,pork is unclean? ever smell one of these goat fuckers?,1.0
32,/content/multimodal-meme-analyzer/9gag_memes/meme_874.jpg,0,jeremy fj jeremyybtc the scammers are evolving berea neset request mictasoft norepf micosoft com a microsoft com an i i wo nathi lifeandtimesv not gonna lie on monday like this they would have gotten my ass j,0.3
33,/content/data/img/84609.png,0,you dumb muddafukka you,1.0
34,/content/data/img/82541.png,0,when you take a bottle of water to africa,1.0
35,/content/data/img/28154.png,1,we can kill as many as we want and your stupid government keeps bringing us in,1.0
36,/content/data/img/81902.png,0,i'm not a smart man but at least i didn't vote for trump,1.0
37,/content/data/img/50142.png,0,2017 the year of the triggered left,1.0
38,/content/data/img/45938.png,1,"hey, i just met you, and this is crazy, this is my grenade so blow me, maybe?",1.0
39,/content/data/img/61749.png,1,whenever the fbi is searching your room and one of your child slaves starts screaming for help,1.0
40,/content/data/img/58096.png,0,grandma is not getting run over by a reindeer this year!!,1.0
41,/content/data/img/21698.png,0,here will soon be a painting of a beautiful quran,1.0
42,/content/data/img/09364.png,1,all races are equal,1.0
43,/content/data/img/40627.png,1,look mommy. that woman on tv is wearing my diaper on her head... it's okay honey. she has shit for brains,1.0
44,/content/data/img/92603.png,0,i love pudding pudding my dick where it doesn't belong,1.0
45,/content/data/img/81203.png,1,holy fuck 50 muslims on one credit,1.0
46,/content/data/img/80197.png,0,former first lady during an interview,1.0
47,/content/data/img/90817.png,1,wendy williams transvestigation! drag queen!,1.0
48,/content/data/img/13865.png,1,getting stoned in america can be expensive in my country it is free for everyone,1.0
49,/content/data/img/52341.png,0,when you're feeling confident and cheeky and want to tese your partner,1.0
50,/content/data/img/01694.png,0,which one should we butcher first,1.0
51,/content/data/img/46175.png,0,last one there is a rotten fish,1.0
52,/content/multimodal-meme-analyzer/9gag_memes/meme_737.jpg,0,i leet et elelee 7 mey pe va ve ya ve ve v4 mae cone we i oren ne ne te ss 7 ey eetelelelolals ae pe ue ue ce ue ve va coo ococol 7 odi diaiadiai adi j coo oool r pr ye ve ve ve ve va ve coool yn pe ae ve e ve ve ye t hanks t hanks a lot,0.3
53,/content/data/img/75016.png,0,when you're a hard hitter,1.0
54,/content/data/img/76139.png,0,you can't get her pregnant if you practice abstinence,1.0
55,/content/data/img/37504.png,0,we are returning our broken coffee maker,1.0
56,/content/data/img/31857.png,0,this is nahir born in germany. nahir is german. this is fluffy born in america. fluffy is american,1.0
57,/content/data/img/35642.png,1,i got some down bitches i can call,1.0
58,/content/data/img/51208.png,0,me: puts bag of popcorn into the microwave. everyone at the senior center :,1.0
59,/content/data/img/80156.png,1,we can kill as many as we want and your stupid government keeps bringing us in,1.0
60,/content/data/img/07698.png,0,"go ahead, call the cops see who cums first",1.0
61,/content/data/img/85947.png,0,loves me some boneless jungle ham,1.0
62,/content/data/img/36598.png,1,i'm not saying i'm fat i just have more chins than a asian phone book,1.0
63,/content/data/img/40916.png,1,my president sitting with a traitor and his tranny wife,1.0
64,/content/multimodal-meme-analyzer/9gag_memes/meme_311.jpg,0,al thy best cowooys flac chines gems an baad f oe x woes re 4 aa ay t yesh hs cate oe ra ote tie a,0.3
65,/content/data/img/26140.png,0,lebron james before he got his hairline fixed,1.0
66,/content/data/img/94026.png,0,i got some muhammed for you right here how you like me now?,1.0
67,/content/data/img/49185.png,1,the face you make when your pussy gets hard,1.0
68,/content/data/img/04912.png,1,immigrantswave our flag invaders wave their own,1.0
69,/content/multimodal-meme-analyzer/9gag_memes/meme_775.jpg,0,winy chee mens stop building wonders oad maa see te gif oof ung caine y ae aan we didn t4asmey bais or lce sc otn oe se ft te ls 2 srd py eth me ee ee i me ae,0.3
